Team,RQ1_Confidence,RQ1_Count,Technique
Team1,4,2,"We use a variety of different regressions.  First, we use ordinary least squares with robust standard errors and control for various things such as height, weight, age.  We also add in fixed effects for league country, position, club, and referee.  In addition, we employ a logistic regression and nonlinear regression to compare with our OLS regressions. "
Team2,4,5,"Linear regression, logistic regression"
Team3,5.17,6,Multilevel Binomial Logistic Regression using bayesian inference.
Team4,2,5,Correlations and partial correlations.
Team5,4.67,6,"Mixed models (a.k.a. multilevel modeling, hierarchical linear models)."
Team6,3.38,8,Linear probability model
Team7,2.5,4,"Profile regression, which is a Dirichlet process Bayesian clustering and is implemented in the R package PReMiuM."
Team8,1.67,6,"For RQ1: ANOVA, Linear Regression For RQ2: Linear Regression"
Team9,5.33,3,"Generalized linear mixed effects models (GLMM), with a logit link function (binary outcome)"
Team10,4.5,8,Multilevel regression analyses.
Team11,2.8,5,Multiple linear regression with a single continuous outcome variable (total red cards) and multiple predictor variables were used to answer question 1. Multiple binary logistic regression with a single dichotomous outcome variable (dichotomized red cards) and multiple predictor variables were used to answer questions 2a and 2b.
Team12,4.25,8,Zero-inflated poisson (ZIP) regression
Team13,4,5, glm with poisson distribution
Team14,2.5,2,WLS (weighted least squares) estimation
Team15,2,1,Hierarchical log-linear modeling. 
Team16,2.67,3,Hierarchical logistic regression was used in both research questions
Team17,4.4,5,Bayesian probit regression
Team18,5,3,hierarchical Bayes model
Team19,1.67,3,Linear Regression
Team20,5.43,7,A four-level multilevel negative-binomial model.
Team21,4,3,Tobit regression analysis
Team22,3,5,"The classic OLS, but with dummy variables for each referee and player. Clustered standard errors."
Team23,6,3,Mixed model logistic regression - both frequentist and Bayesian. Our analysis was performed in R using the lme4 package (frequentist) developed by Bates et al.; and the MCMCglmm package  (Bayesian) developed by Jarrod Hadfield (references below)
Team24,4.9,10,Multilevel linear modelling
Team25,3.5,2,"We used a hierarchical generalized linear model, with a log link function."
Team26,5.43,7,Three-level random effects model with Poisson estimation
Team27,4.5,4,Poisson Regression
Team28,5.33,3,Generalized linear mixed effects modeling
Team29,4.38,13,"In broad terms, the technique might be called Bayesian hierarchical modeling. "
Team30,4.8,10,"Logistic regression with multi-way clustering for Q1, and logistic regression with clustering for Q2"
Team31,4.4,10,We used logistic regression for the analysis.
