Team,Analytic.Approach,Effect.size.units,Estimate,Low,Hi,OR,OR_lo,OR_hi,Non_independence,Distribution
1,"Ordinary least squares with robust standard errors, logistic regression",OR,1.179,0.952,1.405,1.179,0.952,1.405,clustered,Linear
2,"Linear probability model, logistic regression",OR,1.341,1.1,1.63,1.341,1.1,1.63,clustered,Logistic
3,Multilevel Binomial Logistic Regression using bayesian inference,OR,1.31,1.09,1.57,1.31,1.09,1.57,random,Logistic
4,Spearman correlation,D,0.10285,0.1026,0.1031,1.205083989,1.204537667,1.205630558,none,Linear
5,Generalized linear mixed models,OR,1.38,1.1,1.75,1.38,1.1,1.75,random,Logistic
6,Linear Probability Model,OR,1.283,0.771,2.133,1.283,0.771,2.133,clustered,Linear
7,Dirichlet process Bayesian clustering,OR,1.71,1.7,1.72,1.71,1.7,1.72,none,misc
8,Negative binomial regression with a log link analysis,OR,1.391,1.174,1.648,1.391,1.174,1.648,none,Logistic
9,Generalized linear mixed effects models with a logit link function ,OR,1.48,1.2,1.84,1.48,1.2,1.84,random,Logistic
10,Multilevel regression and logistic regression,R,0.008,0.003,0.014,1.029446952,1.010942279,1.05210336,random,Linear
11,Multiple linear regression,D,0.124,0.028,0.22,1.252211416,1.052098122,1.490387063,none,Linear
12,Zero-inflated Poisson regression,IRR,0.8878,0.4941,1.595,0.8878,0.4941,1.595,fixed,Poisson
13,Poisson Multi-level modeling,IRR,1.41,1.13,1.75,1.41,1.13,1.75,random,Poisson
14,Weighted least squares regression with referee fixed-effects and clustered standard errors,OR,1.21445,0.97011,1.45677,1.21445,0.97011,1.45677,clustered,Linear
15,Hierarchical log-linear modeling,OR,1.016,0.999,1.033,1.016,0.999,1.033,random,Logistic
16,Hierarchical Poisson Regression,IRR,1.32,1.06,1.63,1.32,1.06,1.63,random,Poisson
17,Bayesian logistic regression,OR,0.956,0.771,1.184,0.956,0.771,1.184,random,Logistic
18,Hierarchical Bayes model,OR,1.101,0.983,1.265,1.101,0.983,1.265,random,Logistic
20,Cross-classified multilevel negative binomial model ,OR,1.4,1.15,1.71,1.4,1.15,1.71,random,Poisson
21,Tobit regression,R,0.28,0.0071586,0.5581066,2.880746982,1.026309331,11.47234667,clustered,misc
23,Mixed model logistic regression,OR,1.31,1.1,1.56,1.31,1.1,1.56,random,Logistic
24,Multilevel logistic regression,OR,1.38,1.11,1.72,1.38,1.11,1.72,random,Logistic
25,Multilevel logistic binomial regression,OR,1.42,1.19,1.71,1.42,1.19,1.71,random,Logistic
26,Three-level hierarchical generalized linear modeling with Poisson sampling,IRR,1.3,1.08,1.56,1.3,1.08,1.56,random,Poisson
27,Poisson regression,IRR,2.931,0.1085,78.6596,2.931,0.1085,78.6596,none,Poisson
28,Mixed effects logistic regression,OR,1.382,1.12,1.705,1.382,1.12,1.705,random,Logistic
30,Clustered robust binomial logistic regression,OR,1.28,1.04,1.57,1.28,1.04,1.57,clustered,Logistic
31,Logistic regression,OR,1.1226,0.881,1.4304,1.1226,0.881,1.4304,clustered,Logistic
32,Generalized linear models for binary data,OR,1.39,1.1,1.75,1.39,1.1,1.75,clustered,Logistic
