Name,Team,Whatisyourhighestdegree,Whattitlebestdescribesyourcurrentposition,HaveyoutaughtundergraduatelevelstatisticscourseIfsohowmanytotalt,HaveyoutaughtagraduatelevelstatisticscourseIfsohowmanytotaltimes,Haveyoupublishedapaperthatisprimarilyamethodologicalstatisticalc
"Liverani, Silvia",7,1,3,2,3,6
"Spo_rlein, Christoph",5,1,4,2,2,1
"Ho_gden, Fabia",28,2,5,1,1,1
"Vianello, Michelangelo",15,1,3,2,1,6
"Spain, Seth",25,1,3,1,4,5
"Rink, Floor",21,1,2,4,4,1
"Lei, Ryan",10,3,5,1,1,1
"Aust, Frederik",28,2,5,3,2,2
"Hofelich Mohr, Alicia J.",13,1,6,1,1,1
"Witkowiak, Maciej",18,2,6,1,1,1
"Wagenmakers, Eric-Jan",17,1,1,2,4,6
"Christensen, Garret",2,1,4,2,1,1
"Anselmi, Pasquale",15,3,4,3,2,5
"Schlu_ter, Elmar",5,1,1,3,4,3
"Clay, Russ",16,1,3,3,1,2
"Heaton, Tim",23,1,2,4,4,6
"Awtrey, Eli",11,2,5,1,1,1
"Gordon-McKeon, Shauna",27,3,6,1,1,1
"Bai, Feng",26,2,5,1,1,1
"Pope, Nolan",1,2,5,2,1,1
"Ullrich, Johannes",5,1,2,2,4,3
"Madan, Christopher",4,1,4,1,1,3
"Bahnè‚?, _t_p?",24,2,5,1,1,1
"Stafford, Tom",23,1,2,1,1,1
"Kaszubowski, Erikson",3,2,3,2,1,1
"Kalodimos, Jonathan",6,1,6,1,1,1
"Tauber, Susanne",21,1,3,2,2,1
"Molleman, Eric",21,1,1,3,2,1
"Nijstad, Bernard A.",21,1,1,1,1,1
"Sommer, S. Amy",8,1,3,,2,1
"Prenoveau, Jason M.",11,1,3,4,2,2
"Hui, Kent",20,3,5,3,1,1
"Glenz, Andreas",5,2,5,2,1,3
"Fong, Nathan",31,1,3,1,1,1
"Mulder, Laetitia B.",21,1,2,1,1,1
"Yoon, Sangsuk",31,2,5,1,1,1
"Johannesson, Magnus",14,1,1,1,1,3
"Carlsson, Rickard",30,1,3,4,1,1
"Pope, Bryson",1,3,5,1,1,3
"SchÎ??brodt, Felix D.",9,1,3,1,4,5
"Cheung, Felix",20,2,5,1,2,2
"Evans, Mathew H.",23,1,4,1,1,1
"Dalla Rosa, Anna",15,3,5,1,1,1
"Sandberg, Anna",14,1,4,1,1,1
"Morey, Richard D.",17,1,2,4,4,6
"Bonnier, Evelina",14,2,5,1,1,1
"Heene, Moritz",9,1,1,4,4,6
"Sherman, Martin F.",11,1,1,4,,1
"Craig, Maureen",10,1,4,1,1,1
"Flores Cervantes, Ismael",32,2,6,1,1,4
"Dam, Lammertjan",21,1,2,3,1,1
"Lindsay, Thomas A.",13,2,,,,3
"Bannard, Colin",23,1,3,1,3,1
"Sotak, Kristin",25,2,5,2,1,2
"Robusto, Egidio",15,1,1,4,4,6
"Hederos Eriksson, Karin",14,1,4,1,1,1
"Kennedy, Deanna",8,1,3,1,4,1
"Roderique, Hadiya",26,2,5,1,1,1
"Molden, Daniel",10,1,2,1,1,1
"Gamez-Djokic, Monica",10,2,5,1,1,1
"Stefanutti, Luca",15,1,2,4,4,6
