Team, RQ1 , RQ2a , RQ2b ,Time
Team 1,4,3,3,Registration
Team 10,4,3,4,Registration
Team 11,5,4,4,Registration
Team 12,3,3,3,Registration
Team 13,2,3,4,Registration
Team 14,3,2,3,Registration
Team 15,2,3,4,Registration
Team 16,4,4,4,Registration
Team 17,3,3,3,Registration
Team 18,2,3,3,Registration
Team 2,4,4,5,Registration
Team 21,4,4,4,Registration
Team 23,3,4,4,Registration
Team 24,4,3,2,Registration
Team 25,4,2,4,Registration
Team 26,4,4,4,Registration
Team 27,4,4,4,Registration
Team 28,3,4,4,Registration
Team 3,4,4,4,Registration
Team 30,3,3,3,Registration
Team 31,4,2,2,Registration
Team 32,5,4,4,Registration
Team 4,3,2,4,Registration
Team 5,2,2,2,Registration
Team 6,4,4,4,Registration
Team 7,3,3,3,Registration
Team 8,4,4,4,Registration
Team 9,3,3,3,Registration
Team 1,3,2,2,Analytic Approach
Team 10,1,1,1,Analytic Approach
Team 11,2,2,2,Analytic Approach
Team 12,3,3,3,Analytic Approach
Team 13,2,2,2,Analytic Approach
Team 14,2,2,2,Analytic Approach
Team 15,4,3,4,Analytic Approach
Team 16,1,1,1,Analytic Approach
Team 17,2,2,2,Analytic Approach
Team 18,3,4,3,Analytic Approach
Team 2,1,1,1,Analytic Approach
Team 21,1,1,1,Analytic Approach
Team 23,2,2,2,Analytic Approach
Team 24,3,3,3,Analytic Approach
Team 25,3,2,3,Analytic Approach
Team 26,2,2,2,Analytic Approach
Team 27,2,2,2,Analytic Approach
Team 28,2,2,2,Analytic Approach
Team 3,4,3,4,Analytic Approach
Team 30,3,3,3,Analytic Approach
Team 31,3,3,3,Analytic Approach
Team 32,4,4,4,Analytic Approach
Team 4,2,2,2,Analytic Approach
Team 5,2,2,2,Analytic Approach
Team 6,3,3,3,Analytic Approach
Team 7,3,3,3,Analytic Approach
Team 8,2,2,2,Analytic Approach
Team 9,2,2,2,Analytic Approach
Team 1,2,1,1,Final Report
Team 10,5,3,3,Final Report
Team 11,3,3,3,Final Report
Team 12,2,4,1,Final Report
Team 13,4,1,1,Final Report
Team 14,2,2,2,Final Report
Team 15,2,3,2,Final Report
Team 16,4,3,3,Final Report
Team 17,2,2,2,Final Report
Team 18,5,4,1,Final Report
Team 2,3,2,2,Final Report
Team 21,3,3,3,Final Report
Team 23,5,2,2,Final Report
Team 24,5,3,3,Final Report
Team 25,5,3,2,Final Report
Team 26,3,1,1,Final Report
Team 27,3,3,3,Final Report
Team 28,4,2,2,Final Report
Team 3,5,3,3,Final Report
Team 30,5,3,3,Final Report
Team 31,2,2,2,Final Report
Team 32,4,4,4,Final Report
Team 4,2,1,1,Final Report
Team 5,4,2,2,Final Report
Team 6,3,3,3,Final Report
Team 7,5,3,3,Final Report
Team 8,5,2,2,Final Report
Team 9,4,2,2,Final Report
Team 1,2,2,2,After Discussion
Team 10,4,2,2,After Discussion
Team 11,4,1,1,After Discussion
Team 12,3,3,3,After Discussion
Team 13,4,1,1,After Discussion
Team 14,3,2,2,After Discussion
Team 15,3,2,4,After Discussion
Team 16,4,3,3,After Discussion
Team 17,2,2,2,After Discussion
Team 18,4,3,3,After Discussion
Team 2,4,2,2,After Discussion
Team 21,3,2,2,After Discussion
Team 23,5,2,2,After Discussion
Team 24,4,3,3,After Discussion
Team 25,4,3,2,After Discussion
Team 26,4,2,2,After Discussion
Team 27,4,3,3,After Discussion
Team 28,4,2,2,After Discussion
Team 3,4,3,3,After Discussion
Team 30,4,3,3,After Discussion
Team 31,4,3,3,After Discussion
Team 32,5,3,3,After Discussion
Team 4,4,3,3,After Discussion
Team 5,4,2,2,After Discussion
Team 6,3,3,3,After Discussion
Team 7,4,3,3,After Discussion
Team 8,4,4,2,After Discussion
Team 9,4,2,2,After Discussion
